RXN0-6981	EC-3.4.13.18	peptidase D	pepD
RXN0-5433	EC-4.1.2.53	2-keto-3-deoxy-L-rhamnoate aldolase	LRA4
RXN0-5433	EC-4.1.2.53	2-keto-3-deoxy-L-rhamnoate aldolase	lra4
L-RHAMNONATE-DEHYDRATASE-RXN	EC-4.2.1.90	L-rhamnonate dehydratase	yfaW
L-RHAMNONATE-DEHYDRATASE-RXN	EC-4.2.1.90	L-rhamnoate dehydratase	lra3
L-RHAMNONATE-DEHYDRATASE-RXN	EC-4.2.1.90	L-rhamnonate dehydratase	lra3
L-RHAMNONO-14-LACTONASE-RXN	EC-3.1.1.65	L-rhamnono-&gamma;-lactonase	LRA2
RXN-15121	RXN-15121	unknown	unknown
RXN-15123	EC-3.5.99	2-iminobutanoate/2-iminopropanoate deaminase	ridA
RXN-15122	RXN-15122	threonine deaminase	ilvA
RXN-15122	RXN-15122	catabolic threonine dehydratase	tdcB
RXN-15122	RXN-15122	serine dehydratase-like	SDSL
RXN-15122	RXN-15122	L-serine dehydratase/L-threonine deaminase	SDS
ACETOOHBUTSYN-RXN	EC-2.2.1.6	acetohydroxybutanoate synthase||acetolactate synthase	ilvB
ACETOOHBUTSYN-RXN	EC-2.2.1.6	acetohydroxybutanoate synthase||acetolactate synthase	ilvN
ACETOOHBUTSYN-RXN	EC-2.2.1.6	acetohydroxybutanoate synthase||acetolactate synthase	ilvG_1
ACETOOHBUTSYN-RXN	EC-2.2.1.6	acetohydroxybutanoate synthase||acetolactate synthase	ilvG_2
ACETOOHBUTSYN-RXN	EC-2.2.1.6	acetohydroxybutanoate synthase||acetolactate synthase	ilvM
ACETOOHBUTSYN-RXN	EC-2.2.1.6	acetolactate synthase||acetohydroxybutanoate synthase	ilvI
ACETOOHBUTSYN-RXN	EC-2.2.1.6	acetolactate synthase||acetohydroxybutanoate synthase	ilvH
ACETOOHBUTSYN-RXN	EC-2.2.1.6	acetohydroxyacid synthase	ilvH
ACETOOHBUTSYN-RXN	EC-2.2.1.6	acetohydroxyacid synthase	ilvB
ACETOOHBUTSYN-RXN	EC-2.2.1.6	acetohydroxy-acid synthase	ilvB
ACETOOHBUTSYN-RXN	EC-2.2.1.6	acetohydroxy-acid synthase	ilvN
ACETOOHBUTREDUCTOISOM-RXN	EC-1.1.1.86	acetohydroxy acid isomeroreductase	ilvC
ACETOOHBUTREDUCTOISOM-RXN	EC-1.1.1.86	acetohydroxyacid isomeroreductase	ilvC
ACETOOHBUTREDUCTOISOM-RXN	EC-1.1.1.86	acetohydroxy acid isomeroreductase	ilvC
ACETOOHBUTREDUCTOISOM-RXN	EC-1.1.1.86	ketol-acid reductoisomerase	ilvC
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-2.6.1.42	branched-chain amino-acid aminotransferase	ilvE
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-2.6.1.42	branched-chain-amino-acid aminotransferase	ilvE
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-2.6.1.42	branched-chain amino acid aminotransferase	ilvE
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-2.6.1.42	branched-chain amino acid aminotransferase	BAT1
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-2.6.1.42	branched-chain-amino-acid aminotransferase	ilvE
DIHYDROXYMETVALDEHYDRAT-RXN	EC-4.2.1.9	dihydroxy acid dehydratase	ilvD
DIHYDROXYMETVALDEHYDRAT-RXN	EC-4.2.1.9	dihydroxyacid dehydratase	ilvD
DIHYDROXYMETVALDEHYDRAT-RXN	EC-4.2.1.9	dihydroxy-acid dehydratase	ilvDD
DIHYDROXYMETVALDEHYDRAT-RXN	EC-4.2.1.9	dihydroxy acid dehydratase	ilvD
RETICULINE-OXIDASE-RXN	EC-1.21.3.3	berberine bridge enzyme	BBE
RETICULINE-OXIDASE-RXN	EC-1.21.3.3	tetrahydroprotoberberine synthase	BBE
RETICULINE-OXIDASE-RXN	EC-1.21.3.3	berberine bridge enzyme	unknown
2.1.1.117-RXN	EC-2.1.1.117	(S)-scoulerine 9-O-methyltransferase	MT3
2.1.1.117-RXN	EC-2.1.1.117	(S)-scoulerine 9-O-methyltransferase	MT2
2.1.1.117-RXN	EC-2.1.1.117	S-tetrahydrocolumbamine O-methyltransferase||(S)-scoulerine 9-O-methyltransferase	MT1
2.1.1.117-RXN	EC-2.1.1.117	(S)-scoulerine 9-O-methyltransferase	MT1
2.1.1.117-RXN	EC-2.1.1.117	S-adenosyl-L-methionine: (S)-scoulerine-9-O-methyltransferase	SMT
2.1.1.117-RXN	EC-2.1.1.117	S-adenosyl-L-methionine: (S)-scoulerine 9-O-methyltransferase	unknown
1.1.3.36-RXN	EC-1.14.21.5	benzylisoquinoline synthase	CYP719A13
1.1.3.36-RXN	EC-1.14.21.5	canadine synthase	CYP719A21
1.1.3.36-RXN	EC-1.14.21.5	canadine synthase	CYP719A1
RXN-13806	EC-2.1.1.122	canadine N-methyltransferase||tetrahydroprotoberberine cis-N-methyltransferase	TNMT
RXN-13812	EC-1.1.1	noscapine synthase	NOS
RXN-13811	RXN-13811	papaveroxine carboxylesterase	CXE1
RXN-13810	EC-2.1.1	papaveroxine intermediate 4'-O-methyltransferase	MT2
RXN-13807	RXN-13807	unknown	unknown
RXN-13808	RXN-13808	secoberbine intermediate 3-hydroxylase	CYP82X2
RXN-13809	RXN-13809	unknown	unknown
RXN-16145	EC-2.1.1	roquefortine/glandicoline <i>O</i>- methyltransferase	roqN
RXN-16144	EC-1.14.13	cytochrome P450 glandicoline/roquefortine monooxygenase	roqO
RXN-16143	EC-1.14.13	cytochrome P450 glandicoline/roquefortine monooxygenase	roqO
RXN-16142	EC-1.14.13	roquefortine monooxygenase	roqM
RXN-16141	EC-1.14.13	roquefortine monooxygenase	roqM
RXN-16140	EC-1.14.13	roquefortine monooxygenase	roqM
RXN-12158	EC-1.1.1.378	NAD(P)<sup>+</sup>-dependent L-rhamnose 1-dehydrogenase	lra1
RXN-12158	EC-1.1.1.378	NAD(P)<sup>+</sup>-dependent L-rhamnose 1-dehydrogenase	lra1
RXN-12149	RXN-12149	unknown	unknown
L-RHAMNOSE-1-DEHYDROGENASE-RXN	EC-1.1.1.173	NAD(P)<sup>+</sup>-dependent L-rhamnose 1-dehydrogenase	lra1
L-RHAMNOSE-1-DEHYDROGENASE-RXN	EC-1.1.1.173	NAD(P)<sup>+</sup>-dependent L-rhamnose 1-dehydrogenase	lra1
L-RHAMNOSE-1-DEHYDROGENASE-RXN	EC-1.1.1.173	NAD<sup>+</sup>-dependent L-rhamnose 1-dehydrogenase	LRA1
L-RHAMNOSE-1-DEHYDROGENASE-RXN	EC-1.1.1.173	NAD<sup>+</sup>-dependent L-rhamnose 1-dehydrogenase	unknown
RXN-12096	RXN-12096	L-2,4-diketo-3-deoxyrhamnonate hydrolase	lra6
RXN-12095	|EC-1.1.1.dp|	2-dehydro-3-deoxy-L-rhamnonate dehydrogenase	Ira5
L-RHAMNONATE-DEHYDRATASE-RXN	EC-4.2.1.90	L-rhamnonate dehydratase	yfaW
L-RHAMNONATE-DEHYDRATASE-RXN	EC-4.2.1.90	L-rhamnoate dehydratase	lra3
L-RHAMNONATE-DEHYDRATASE-RXN	EC-4.2.1.90	L-rhamnonate dehydratase	lra3
L-RHAMNONO-14-LACTONASE-RXN	EC-3.1.1.65	L-rhamnono-&gamma;-lactonase	LRA2
RXN-16107	RXN-16107	unknown	unknown
RXN-16106	RXN-16106	unknown	unknown
RXN-16105	EC-2.5.1	6-hydroxy-deoxybrevianamide E prenyltransferase	notC
RXN-16104	EC-1.14.13	unknown	unknown
RXN-14419	EC-2.5.1.109	brevianamide F reverse prenyltransferase	brePT
RXN-14419	EC-2.5.1.109	deoxybrevianamide F synthase	notF
RXN0-5306	EC-5.1.3.32	L-rhamnose mutarotase	rhaM
RXN0-5306	EC-5.1.3.32	L-rhamnose mutarotase	rhaU
RXN-15356	RXN-15356	unknown	unknown
RHAMNISOM-RXN	EC-5.3.1.14	L-rhamnose isomerase	rhaA
RHAMNULOKIN-RXN	EC-2.7.1.5	L-rhamnulose kinase	rhaB
RHAMNULOKIN-RXN	EC-2.7.1.5	rhamnulokinase	rhaK
RHAMNULPALDOL-RXN	EC-4.1.2.19	rhamnulose-1-phosphate aldolase	rhaD
RHAMNULPALDOL-RXN	EC-4.1.2.19	bifunctional L-rhamnulose 1-phosphate aldolase/lactaldehyde dehydrogenase	rhaEW
RHAMNULPALDOL-RXN	EC-4.1.2.19	bifunctional L-rahmnulose-phosphate aldolase/L-lactaldehyde dehydrogenase	rhaEW
ATPPHOSPHORIBOSYLTRANS-RXN	EC-2.4.2.17	ATP phosphoribosyltransferase	hisG
ATPPHOSPHORIBOSYLTRANS-RXN	EC-2.4.2.17	ATP-phosphoribosyl  transferase	AT1G09795
ATPPHOSPHORIBOSYLTRANS-RXN	EC-2.4.2.17	ATP-phosphoribosyl transferase	AT1G58080
ATPPHOSPHORIBOSYLTRANS-RXN	EC-2.4.2.17	ATP PPRTase	hisG
HISTCYCLOHYD-RXN	EC-3.5.4.19	phosphoribosyl-AMP cyclohydrolase||phosphoribosyl-ATP pyrophosphatase	hisI
HISTCYCLOHYD-RXN	EC-3.5.4.19	phosphoribosyl-AMP cyclohydrolase||phosphoribosyl-ATP pyrophosphohydrolase	AT1G31860
HISTCYCLOHYD-RXN	EC-3.5.4.19	phosphoribosyl-AMP cyclohydrolase||phosphoribosyl-ATP pyrophosphatase	hisI-E
HISTPRATPHYD-RXN	EC-3.6.1.31	phosphoribosyl-AMP cyclohydrolase||phosphoribosyl-ATP pyrophosphatase	hisI
HISTPRATPHYD-RXN	EC-3.6.1.31	phosphoribosyl-AMP cyclohydrolase||phosphoribosyl-ATP pyrophosphohydrolase	AT1G31860
HISTPRATPHYD-RXN	EC-3.6.1.31	phosphoribosyl-AMP cyclohydrolase||phosphoribosyl-ATP pyrophosphatase	hisI-E
PRIBFAICARPISOM-RXN	EC-5.3.1.16	N-(5'-phospho-L-ribosyl-formimino)-5-amino-1-(5'-phosphoribosyl)-4-imidazolecarboxamide isomerase	hisA
PRIBFAICARPISOM-RXN	EC-5.3.1.16	phosphoribosyl-formimino-5-aminoimidazole-4-carboxamide ribonucleotide isomerase	AT2G36230
PRIBFAICARPISOM-RXN	EC-5.3.1.16	<I>N</I><SUP>1</SUP>-((5'-phosphoribosyl)-formimino)-5-iminoimidazole-4-carboxyamide ribonucleotide isomerase	hisA
GLUTAMIDOTRANS-RXN	EC-2.4.2	imidazole glycerol phosphate synthase	hisH
GLUTAMIDOTRANS-RXN	EC-2.4.2	imidazole glycerol phosphate synthase	hisF
GLUTAMIDOTRANS-RXN	EC-2.4.2	imidazoleglycerolphosphate synthase	AT4G26900
GLUTAMIDOTRANS-RXN	EC-2.4.2	imidazoleglycerol phosphate synthase	hisF
GLUTAMIDOTRANS-RXN	EC-2.4.2	imidazoleglycerol phosphate synthase	hisH
IMIDPHOSDEHYD-RXN	EC-4.2.1.19	imidazoleglycerol-phosphate dehydratase||histidinol-phosphatase	hisB
IMIDPHOSDEHYD-RXN	EC-4.2.1.19	imidazoleglycerolphosphate dehydratase	AT3G22425
IMIDPHOSDEHYD-RXN	EC-4.2.1.19	imidazoleglycerol phosphate dehydratase	hisB
HISTAMINOTRANS-RXN	EC-2.6.1.9	histidinol-phosphate aminotransferase	hisC
HISTAMINOTRANS-RXN	EC-2.6.1.9	histidinol-phosphate aminotransferase	hisC
HISTAMINOTRANS-RXN	EC-2.6.1.9	histidinol phosphate aminotransferase	hisC
HISTIDPHOS-RXN	EC-3.1.3.15	imidazoleglycerol-phosphate dehydratase||histidinol-phosphatase	hisB
HISTIDPHOS-RXN	EC-3.1.3.15	alkaline phosphatase	phoA
HISTIDPHOS-RXN	EC-3.1.3.15	histidinol-phosphate phosphatase||L-galactose-1-phosphate phosphatase||myo-inositol 1-phosphate monophosphatase||myo-inositol 3-phosphate monophosphatase	AT4G39120
HISTIDPHOS-RXN	EC-3.1.3.15	histidinol phosphate phosphatase	hisK
HISTOLDEHYD-RXN	HISTOLDEHYD-RXN	histidinal dehydrogenase||histidinol dehydrogenase	hisD
HISTOLDEHYD-RXN	HISTOLDEHYD-RXN	histidinal dehydrogenase||histidinol dehydrogenase	HDH
HISTOLDEHYD-RXN	HISTOLDEHYD-RXN	histidinol dehydrogenase	hisD
HISTALDEHYD-RXN	HISTALDEHYD-RXN	histidinal dehydrogenase||histidinol dehydrogenase	hisD
HISTALDEHYD-RXN	HISTALDEHYD-RXN	histidinal dehydrogenase||histidinol dehydrogenase	HDH
HISTALDEHYD-RXN	HISTALDEHYD-RXN	histidinol dehydrogenase	hisD
PHENYLALANINE-AMMONIA-LYASE-RXN	EC-4.3.1.25	phenylalanine/tyrosine ammonia-lyase	PAL
PHENYLALANINE-AMMONIA-LYASE-RXN	EC-4.3.1.25	phenylalanine ammonia-lyase	PAL1
PHENYLALANINE-AMMONIA-LYASE-RXN	EC-4.3.1.25	phenylalanine ammonia lyase	encP
PHENYLALANINE-AMMONIA-LYASE-RXN	EC-4.3.1.25	phenylalanine ammonia lyase	AT2G37040
RXN-9336	RXN-9336	unknown	unknown
RXN-9337	RXN-9337	unknown	unknown
RXN-9338	RXN-9338	unknown	unknown
RXN-9339	RXN-9339	unknown	unknown
RXN-9340	RXN-9340	unknown	unknown
RXN-9341	RXN-9341	unknown	unknown
RXN-9342	RXN-9342	unknown	unknown
GLUTAMATESYN-RXN	EC-1.4.1.13	glutamate synthase	gltB
GLUTAMATESYN-RXN	EC-1.4.1.13	glutamate synthase	gltD
GLUTAMATESYN-RXN	EC-1.4.1.13	glutamate synthase	gltA
GLUTAMATESYN-RXN	EC-1.4.1.13	glutamate synthase	gltB
GLUTAMATESYN-RXN	EC-1.4.1.13	glutamate synthase	gltD
GLUTAMATESYN-RXN	EC-1.4.1.13	glutamate synthase	gltB
GLUTAMATESYN-RXN	EC-1.4.1.13	glutamate synthase	gltA
GLUCOKIN-RXN	EC-2.7.1.1	glucosamine kinase||glucokinase	glk
GLUCOKIN-RXN	EC-2.7.1.1	fructokinase||hexokinase	AT4G29130
GLUCOKIN-RXN	EC-2.7.1.1	hexokinase	AT2G19860
GLUCOKIN-RXN	EC-2.7.1.1	hexokinase	Hxk2
GLUCOKIN-RXN	EC-2.7.1.1	hexokinase-3	HK3
GLUCOKIN-RXN	EC-2.7.1.1	hexokinase-2	HK2
GLUCOKIN-RXN	EC-2.7.1.1	hexokinase-1	HK1
GLUCOKIN-RXN	EC-2.7.1.1	glucokinase	glk
GLUCOKIN-RXN	EC-2.7.1.1	hexokinase	unknown
GLUCOKIN-RXN	EC-2.7.1.1	glucokinase	GL50803_8826
GLUCOKIN-RXN	EC-2.7.1.1	glucokinase	GLK1
GLUCOKIN-RXN	EC-2.7.1.1	glucokinase	GCK
GLUCOKIN-RXN	EC-2.7.1.1	glucokinase	glk
GLUCOKIN-RXN	EC-2.7.1.1	glucokinase	glcK
TRE6PHYDRO-RXN	EC-3.2.1.93	trehalose-6-phosphate hydrolase	treC
TRE6PHYDRO-RXN	EC-3.2.1.93	trehalose-6-phosphate hydrolase	treA
BETA-CYCLOPIAZONATE-DEHYDROGENASE-RXN	EC-1.21.99.1	&beta;-cyclopiazonate oxidocyclase	CpaO
BETA-CYCLOPIAZONATE-DEHYDROGENASE-RXN	EC-1.21.99.1	&beta;-cyclopiazonate oxidocyclase V	unknown
BETA-CYCLOPIAZONATE-DEHYDROGENASE-RXN	EC-1.21.99.1	&beta;-cyclopiazonate oxidocyclase IV	unknown
BETA-CYCLOPIAZONATE-DEHYDROGENASE-RXN	EC-1.21.99.1	&beta;-cyclopiazonate oxidocyclase III	unknown
BETA-CYCLOPIAZONATE-DEHYDROGENASE-RXN	EC-1.21.99.1	&beta;-cyclopiazonate oxidocyclase II	unknown
BETA-CYCLOPIAZONATE-DEHYDROGENASE-RXN	EC-1.21.99.1	&beta;-cyclopiazonate oxidocyclase I	unknown
RXN-15812	EC-2.5.1	cyclo-acetoacetyl-L-tryptophan dimethylallyltransferase	CpaD
RXN-15811	EC-6.3.2	cyclo-acetoacetyl-<i>L</i>-tryptophan synthetase	CpaA
RXN-15811	EC-6.3.2	cyclo-acetoacetyl-<i>L</i>-tryptophan synthetase	CpaS
RXN-15810	EC-2.3.1	cyclo-acetoacetyl-<i>L</i>-tryptophan synthetase	CpaA
RXN-15810	EC-2.3.1	cyclo-acetoacetyl-<i>L</i>-tryptophan synthetase	CpaS
GLUTAMIN-RXN	EC-3.5.1.38	glutaminase	unknown
GLUTAMIN-RXN	EC-3.5.1.38	glutaminase B	unknown
GLUTAMIN-RXN	EC-3.5.1.38	glutaminase	yneH
GLUTAMIN-RXN	EC-3.5.1.38	glutaminase	ybaS
GLUTAMIN-RXN	EC-3.5.1.38	glutaminase, liver isoform	Gls2
GLUTAMIN-RXN	EC-3.5.1.38	glutaminase	unknown
GLUTAMIN-RXN	EC-3.5.1.38	glutaminase, kidney isoform	GLS
GLUTAMIN-RXN	EC-3.5.1.38	CTP synthase	pyrG
GLUTAMIN-RXN	EC-3.5.1.38	CTP synthetase	pyrG
GLUTAMIN-RXN	EC-3.5.1.38	CTP synthase 2	CTPS2
GLUTAMIN-RXN	EC-3.5.1.38	CTP synthase 1	CTPS1
GLUTAMIN-RXN	EC-3.5.1.38	GMP synthetase	guaA
GLUTAMIN-RXN	EC-3.5.1.38	GMP synthase	GUA1
GLUTAMIN-RXN	EC-3.5.1.38	pyridoxal 5'-phosphate synthase complex	SNO1
GLUTAMIN-RXN	EC-3.5.1.38	pyridoxal 5'-phosphate synthase complex	SNZ1
GLUTAMIN-RXN	EC-3.5.1.38	pyridoxal 5'-phosphate synthase	AT5G60540
GLUTAMIN-RXN	EC-3.5.1.38	pyridoxal 5'-phosphate synthase	AT2G38230
GLUTAMIN-RXN	EC-3.5.1.38	pyridoxal 5'-phosphate synthase complex	pdxT
GLUTAMIN-RXN	EC-3.5.1.38	pyridoxal 5'-phosphate synthase complex	pdxS
GLUTAMIN-RXN	EC-3.5.1.38	carbamoyl phosphate synthetase	carB
GLUTAMIN-RXN	EC-3.5.1.38	carbamoyl phosphate synthetase	carA
GLUTAMIN-RXN	EC-3.5.1.38	CAD protein	CAD
GLUTAMIN-RXN	EC-3.5.1.38	carbamoyl-phosphate synthetase, arginine specific	carB
GLUTAMIN-RXN	EC-3.5.1.38	carbamoyl-phosphate synthetase, arginine specific	carA
GLUTAMIN-RXN	EC-3.5.1.38	asparagine synthetase B	asnB
GLUTAMIN-RXN	EC-3.5.1.38	asparagine synthetase	AS1
GLUTAMIN-RXN	EC-3.5.1.38	asparagine synthetase	AS1
GLUTAMIN-RXN	EC-3.5.1.38	asparagine synthetase	Asns
GLUTAMIN-RXN	EC-3.5.1.38	glutamate synthase (ferredoxin)	glsF
GLUTAMIN-RXN	EC-3.5.1.38	glutamate synthase (ferredoxin-dependent)	AT5G04140
GLUTAMIN-RXN	EC-3.5.1.38	glutamate synthase (ferredoxin-dependent)	unknown
GLUTAMIN-RXN	EC-3.5.1.38	glutamate synthase	gltB
GLUTAMIN-RXN	EC-3.5.1.38	glutamate synthase	gltD
GLUTAMIN-RXN	EC-3.5.1.38	glutamate synthase	gltA
GLUTAMIN-RXN	EC-3.5.1.38	glutamate synthase	gltB
GLUTAMIN-RXN	EC-3.5.1.38	glutamate synthase	gltD
GLUTAMIN-RXN	EC-3.5.1.38	glutamate synthase	gltB
GLUTAMIN-RXN	EC-3.5.1.38	glutamate synthase	gltA
HISTTRANSAM-RXN	EC-2.6.1.38	histidine-2-oxooglutarate aminotransferase	unknown
HISTTRANSAM-RXN	EC-2.6.1.38	histidine-2-oxoglutarate aminotransferase	unknown
IMILACTDEHYDROG-RXN	EC-1.1.1.111	imidazole-lactate oxidase	unknown
IMILACTDEHYDROG-RXN	EC-1.1.1.111	imidazol-pyruvate reductase	unknown
GLUCOKIN-RXN	EC-2.7.1.1	glucosamine kinase||glucokinase	glk
GLUCOKIN-RXN	EC-2.7.1.1	fructokinase||hexokinase	AT4G29130
GLUCOKIN-RXN	EC-2.7.1.1	hexokinase	AT2G19860
GLUCOKIN-RXN	EC-2.7.1.1	hexokinase	Hxk2
GLUCOKIN-RXN	EC-2.7.1.1	hexokinase-3	HK3
GLUCOKIN-RXN	EC-2.7.1.1	hexokinase-2	HK2
GLUCOKIN-RXN	EC-2.7.1.1	hexokinase-1	HK1
GLUCOKIN-RXN	EC-2.7.1.1	glucokinase	glk
GLUCOKIN-RXN	EC-2.7.1.1	hexokinase	unknown
GLUCOKIN-RXN	EC-2.7.1.1	glucokinase	GL50803_8826
GLUCOKIN-RXN	EC-2.7.1.1	glucokinase	GLK1
GLUCOKIN-RXN	EC-2.7.1.1	glucokinase	GCK
GLUCOKIN-RXN	EC-2.7.1.1	glucokinase	glk
GLUCOKIN-RXN	EC-2.7.1.1	glucokinase	glcK
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	phosphoglucomutase	pgm
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	phosphomannomutase	algC
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	phosphoglucomutase	pgmA
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	phosphoglucomutase-1	PGM1
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	phosphoglucomutase-2	PGM2
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	phosphoglucomutase	unknown
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	phosphoglucomutase	AT5G51820
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	phosphoglucomutase-2	PGM2
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	phosphoglucomutase-1	PGM1
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	&alpha;-phosphoglucomutase	pgcA
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	&alpha;-phosphoglucomutase	pgmA
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	&alpha;-phosphoglucomutase	pgm II
RXN-4441	EC-2.4.1.231	trehalose phosphorylase	PsTP
RXN-4441	EC-2.4.1.231	trehalose phosphorylase	TSase
RXN-4441	EC-2.4.1.231	trehalose phosphorylase	unknown
RXN-8882	EC-2.4.1	solanidine glucosyltransferase	Sgt2
RXN-8875	EC-2.4.1	solanine UDP-galactose galactosyltransferase	SGT1
RXN-8884	EC-2.4.1	glycosterol rhamnosyltransferase	Sgt3
RXN-8881	RXN-8881	unknown	unknown
RXN-8883	EC-2.4.1	glycosterol rhamnosyltransferase	Sgt3
RXN-8880	RXN-8880	unknown	unknown
GKI-RXN	EC-2.7.1.165	glycerate kinase I	garK
GKI-RXN	EC-2.7.1.165	glycerate kinase II	glxK
GKI-RXN	EC-2.7.1.165	glycerate 2-kinase	ST2037
GKI-RXN	EC-2.7.1.165	glycerate 2-kinase	unknown
GKI-RXN	EC-2.7.1.165	glycerate 2-kinase	gckA
GALACTARDEHYDRA-RXN	EC-4.2.1.42	galactarate dehydratase	garD
GALACTARDEHYDRA-RXN	EC-4.2.1.42	D-galactarate dehydratase	unknown
TSA-REDUCT-RXN	EC-1.1.1.60	tartronate semialdehyde reductase	garR
KDGALDOL-RXN	EC-4.1.2.20	&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase	garL
GLUCOKIN-RXN	EC-2.7.1.1	glucosamine kinase||glucokinase	glk
GLUCOKIN-RXN	EC-2.7.1.1	fructokinase||hexokinase	AT4G29130
GLUCOKIN-RXN	EC-2.7.1.1	hexokinase	AT2G19860
GLUCOKIN-RXN	EC-2.7.1.1	hexokinase	Hxk2
GLUCOKIN-RXN	EC-2.7.1.1	hexokinase-3	HK3
GLUCOKIN-RXN	EC-2.7.1.1	hexokinase-2	HK2
GLUCOKIN-RXN	EC-2.7.1.1	hexokinase-1	HK1
GLUCOKIN-RXN	EC-2.7.1.1	glucokinase	glk
GLUCOKIN-RXN	EC-2.7.1.1	hexokinase	unknown
GLUCOKIN-RXN	EC-2.7.1.1	glucokinase	GL50803_8826
GLUCOKIN-RXN	EC-2.7.1.1	glucokinase	GLK1
GLUCOKIN-RXN	EC-2.7.1.1	glucokinase	GCK
GLUCOKIN-RXN	EC-2.7.1.1	glucokinase	glk
GLUCOKIN-RXN	EC-2.7.1.1	glucokinase	glcK
TREHALA-RXN	EC-3.2.1.28	periplasmic trehalase	treA
TREHALA-RXN	EC-3.2.1.28	cytoplasmic trehalase	treF
TREHALA-RXN	EC-3.2.1.28	neutral trehalase	NTH2
TREHALA-RXN	EC-3.2.1.28	neutral trehalase	NTH1
TREHALA-RXN	EC-3.2.1.28	acid trehalase	ATH1
TREHALA-RXN	EC-3.2.1.28	trehalase (bound form)	LOC410795
2.5.1.71-RXN	EC-2.5.1.71	leachianone G 2\"-dimethylallyltransferase	unknown
1.14.13.103-RXN	EC-1.14.13.103	8-dimethylallylnaringenin 2'-hydroxylase	unknown
2.5.1.70-RXN	EC-2.5.1.70	naringenin 8-dimethylallyltransferase	N8DT-2
2.5.1.70-RXN	EC-2.5.1.70	naringenin 8-dimethylallyltransferase	N8DT-1
25-DIOXOVALERATE-DEHYDROGENASE-RXN	EC-1.2.1.26	&alpha;-ketoglutarate semialdehyde dehydrogenase	HVO_B0039
25-DIOXOVALERATE-DEHYDROGENASE-RXN	EC-1.2.1.26	&alpha;-ketoglutarate semialdehyde dehydrogenase	ACIAD0131
25-DIOXOVALERATE-DEHYDROGENASE-RXN	EC-1.2.1.26	&alpha;-ketoglutarate semialdehyde dehydrogenase (D-glucarate-induced isozyme)	unknown
25-DIOXOVALERATE-DEHYDROGENASE-RXN	EC-1.2.1.26	&alpha;-ketoglutarate semialdehyde dehydrogenase	dopDH
25-DIOXOVALERATE-DEHYDROGENASE-RXN	EC-1.2.1.26	&alpha;-ketoglutaric semialdehyde dehydrogenase (4-hydroxy-L-proline-induced isozyme)	lhpG
25-DIOXOVALERATE-DEHYDROGENASE-RXN	EC-1.2.1.26	&alpha;-ketoglutaric semialdehyde dehydrogenase	araE
25-DIOXOVALERATE-DEHYDROGENASE-RXN	EC-1.2.1.26	2-ketoglutarate semialdehyde dehydrogenase	PA2217
4.2.1.41-RXN	EC-4.2.1.41	5-dehydro-4-deoxy-D-glucarate dehydratase	kdgD
4.2.1.41-RXN	EC-4.2.1.41	5-dehydro-4-deoxy-D-glucarate dehydratase	unknown
GALACTARDEHYDRA-RXN	EC-4.2.1.42	galactarate dehydratase	garD
GALACTARDEHYDRA-RXN	EC-4.2.1.42	D-galactarate dehydratase	unknown
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	EC-2.6.1.44	serine--pyruvate aminotransferase	AGXT1
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	EC-2.6.1.44	alanine--glyoxylate aminotransferase 2	AGXT2
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	EC-2.6.1.44	alanine transaminase	AT1G23310
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	EC-2.6.1.44	alanine transaminase	AT1G70580
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	EC-2.6.1.44	alanine--glyoxylate aminotransferase 1	AGX1
BETA-PHOSPHOGLUCOMUTASE-RXN	EC-5.4.2.6	&beta;-phosphoglucomutase	ycjU
BETA-PHOSPHOGLUCOMUTASE-RXN	EC-5.4.2.6	&beta;-phosphoglucomutase	&beta;-pgm
BETA-PHOSPHOGLUCOMUTASE-RXN	EC-5.4.2.6	&beta;-phosphoglucomutase	unknown
BETA-PHOSPHOGLUCOMUTASE-RXN	EC-5.4.2.6	&beta;-phosphoglucomutase	unknown
